18:23  @sansGato | oh u
18:57  @sansGato | they fucking didnt even confer with me!!!!!
18:57  @sansGato | they broke the rules
18:57  @sansGato | !!!!!
18:57  @sansGato | i was so pissed
18:57  @sansGato | but could not say anything
18:57  @sansGato | because
18:57  @sansGato | it made me win
18:57  @sansGato | but they should have talked with me!!!!
18:57  @sansGato | fucking idiots
18:57  @sansGato | either way
18:57  @sansGato | I WON
18:57  @sansGato | HAHAHAHHA
18:59  @sansGato | My first "real win" was a dui case, wherethe jury did not rule in my favor but I got the judge to do a JNOV lol
18:59  @sansGato | then i had everyone mad at me
19:00  @sansGato | lol
19:00  @sansGato | that was great
19:00  @sansGato | then i started reading stern
19:00  @sansGato | and the game changed
19:01  @sansGato | but didnt get a chance to fuck with those methods until fed where i work nowl, which was many moons later
19:03  @sansGato | funny i started reading stern because I wanted to figure owlt why i sucked at the jury selection stage
19:03  @sansGato | because that was the worst jury ever
19:03  @sansGato | but turns owlt
19:03  @sansGato | it was a red pill
19:03  @sansGato | to take me owlt
19:03  @sansGato | of the matrix !!!!!!!!!! AND WIN EVERY CASE !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
19:04  @sansGato | hahahahahahah!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
19:04  @sansGato | but this too is a form
21:21  @sansGato | anyways... BACK ROOMS AINT DAT BAD
